"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00042319","DEATH VALLEY, CA US","2018-01-01","0.00","0.0","0.0","65","34","42"
"USC00042319","DEATH VALLEY, CA US","2018-01-02","0.00","0.0","0.0","61","38","46"
"USC00042319","DEATH VALLEY, CA US","2018-01-03","0.00","0.0","0.0","69","34","54"
"USC00042319","DEATH VALLEY, CA US","2018-01-04","0.00","0.0","0.0","69","39","48"
"USC00042319","DEATH VALLEY, CA US","2018-01-05","0.00","0.0","0.0","74","40","57"
"USC00042319","DEATH VALLEY, CA US","2018-01-06","0.00","0.0","0.0","74","47","65"
"USC00042319","DEATH VALLEY, CA US","2018-01-07","0.00","0.0","0.0","77","54","60"
"USC00042319","DEATH VALLEY, CA US","2018-01-08","0.07","0.0","0.0","62","52","52"
"USC00042319","DEATH VALLEY, CA US","2018-01-09","0.40","0.0","0.0","60","51","51"
"USC00042319","DEATH VALLEY, CA US","2018-01-10","0.00","0.0","0.0","64","49","50"
"USC00042319","DEATH VALLEY, CA US","2018-01-11","0.00","0.0","0.0","67","45","51"
"USC00042319","DEATH VALLEY, CA US","2018-01-12","0.00","0.0","0.0","68","44","51"
"USC00042319","DEATH VALLEY, CA US","2018-01-13","0.00","0.0","0.0","73","45","55"
"USC00042319","DEATH VALLEY, CA US","2018-01-14","0.00","0.0","0.0","72","44","55"
"USC00042319","DEATH VALLEY, CA US","2018-01-15","0.00","0.0","0.0","73","46","55"
"USC00042319","DEATH VALLEY, CA US","2018-01-16","0.00","0.0","0.0","70","49","54"
"USC00042319","DEATH VALLEY, CA US","2018-01-17","0.00","0.0","0.0","71","47","54"
"USC00042319","DEATH VALLEY, CA US","2018-01-18","0.00","0.0","0.0","71","46","53"
"USC00042319","DEATH VALLEY, CA US","2018-01-19","0.01","0.0","0.0","78","48","56"
"USC00042319","DEATH VALLEY, CA US","2018-01-20","0.00","0.0","0.0","68","54","56"
"USC00042319","DEATH VALLEY, CA US","2018-01-21","0.00","0.0","0.0","69","46","47"
"USC00042319","DEATH VALLEY, CA US","2018-01-22","0.00","0.0","0.0","66","39","45"
"USC00042319","DEATH VALLEY, CA US","2018-01-23","0.00","0.0","0.0","69","37","46"
"USC00042319","DEATH VALLEY, CA US","2018-01-24","0.00","0.0","0.0","69","37","47"
"USC00042319","DEATH VALLEY, CA US","2018-01-25","0.00","0.0","0.0","75","42","52"
"USC00042319","DEATH VALLEY, CA US","2018-01-26","0.00","0.0","0.0","69","42","53"
"USC00042319","DEATH VALLEY, CA US","2018-01-27","0.00","0.0","0.0","69","38","50"
"USC00042319","DEATH VALLEY, CA US","2018-01-28","0.00","0.0","0.0","81","44","56"
"USC00042319","DEATH VALLEY, CA US","2018-01-29","0.00","0.0","0.0","81","48","61"
"USC00042319","DEATH VALLEY, CA US","2018-01-30","0.00","0.0","0.0","79","48","60"
"USC00042319","DEATH VALLEY, CA US","2018-01-31","0.00","0.0","0.0","78","44","53"
"USC00042319","DEATH VALLEY, CA US","2018-02-01","0.00","0.0","0.0","79","45","52"
"USC00042319","DEATH VALLEY, CA US","2018-02-02","0.00","0.0","0.0","81","45","59"
"USC00042319","DEATH VALLEY, CA US","2018-02-03","0.00","0.0","0.0","81","46","59"
"USC00042319","DEATH VALLEY, CA US","2018-02-04","0.00","0.0","0.0","87","57","61"
"USC00042319","DEATH VALLEY, CA US","2018-02-05","0.00","0.0","0.0","85","47","63"
"USC00042319","DEATH VALLEY, CA US","2018-02-06","0.00","0.0","0.0","88","51","70"
"USC00042319","DEATH VALLEY, CA US","2018-02-07","0.00","0.0","0.0","83","53","60"
"USC00042319","DEATH VALLEY, CA US","2018-02-08","0.00","0.0","0.0","85","48","57"
"USC00042319","DEATH VALLEY, CA US","2018-02-09","0.00","0.0","0.0","82","46","55"
"USC00042319","DEATH VALLEY, CA US","2018-02-10","0.00","0.0","0.0","82","48","62"
"USC00042319","DEATH VALLEY, CA US","2018-02-11","0.00","0.0","0.0","73","49","56"
"USC00042319","DEATH VALLEY, CA US","2018-02-12","0.00","0.0","0.0","70","47","57"
"USC00042319","DEATH VALLEY, CA US","2018-02-13","0.00","0.0","0.0","72","54","57"
"USC00042319","DEATH VALLEY, CA US","2018-02-14","0.00","0.0","0.0","74","50","58"
"USC00042319","DEATH VALLEY, CA US","2018-02-15","0.00","0.0","0.0","76","48","63"
"USC00042319","DEATH VALLEY, CA US","2018-02-16","0.00","0.0","0.0","76","53","56"
"USC00042319","DEATH VALLEY, CA US","2018-02-17","0.00","0.0","0.0","76","42","55"
"USC00042319","DEATH VALLEY, CA US","2018-02-18","0.00","0.0","0.0","79","41","66"
"USC00042319","DEATH VALLEY, CA US","2018-02-19","0.00","0.0","0.0","66","46","46"
"USC00042319","DEATH VALLEY, CA US","2018-02-20","0.00","0.0","0.0","62","38","45"
"USC00042319","DEATH VALLEY, CA US","2018-02-21","0.00","0.0","0.0","65","39","48"
"USC00042319","DEATH VALLEY, CA US","2018-02-22","0.00","0.0","0.0","67","37","49"
"USC00042319","DEATH VALLEY, CA US","2018-02-23","0.00","0.0","0.0","64","40","43"
"USC00042319","DEATH VALLEY, CA US","2018-02-24","0.00","0.0","0.0","60","38","45"
"USC00042319","DEATH VALLEY, CA US","2018-02-25","0.00","0.0","0.0","70","42","47"
"USC00042319","DEATH VALLEY, CA US","2018-02-26","0.05","0.0","0.0","69","36","62"
"USC00042319","DEATH VALLEY, CA US","2018-02-27","0.00","0.0","0.0","62","44","45"
"USC00042319","DEATH VALLEY, CA US","2018-02-28","0.00","0.0","0.0","69","38","53"
"USC00042319","DEATH VALLEY, CA US","2018-03-01","0.00","0.0","0.0","77","47","62"
"USC00042319","DEATH VALLEY, CA US","2018-03-02","0.00","0.0","0.0","77","61","65"
"USC00042319","DEATH VALLEY, CA US","2018-03-03","0.00","0.0","0.0","73","52","53"
"USC00042319","DEATH VALLEY, CA US","2018-03-04","0.00","0.0","0.0","70","44","52"
"USC00042319","DEATH VALLEY, CA US","2018-03-05","0.00","0.0","0.0","72","47","53"
"USC00042319","DEATH VALLEY, CA US","2018-03-06","0.00","0.0","0.0","79","48","59"
"USC00042319","DEATH VALLEY, CA US","2018-03-07","0.00","0.0","0.0","75","48","50"
"USC00042319","DEATH VALLEY, CA US","2018-03-08","0.00","0.0","0.0","80","41","60"
"USC00042319","DEATH VALLEY, CA US","2018-03-09","0.00","0.0","0.0","83","48","63"
"USC00042319","DEATH VALLEY, CA US","2018-03-10","0.04","0.0","0.0","80","58","59"
"USC00042319","DEATH VALLEY, CA US","2018-03-11","0.08","0.0","0.0","82","58","67"
"USC00042319","DEATH VALLEY, CA US","2018-03-12","0.00","0.0","0.0","85","58","72"
